Cluster_sseqid,ICTV_Realm,ICTV_Kingdom,ICTV_Phylum,ICTV_Subphylum,ICTV_Class,ICTV_Order,ICTV_Suborder,ICTV_Family,ICTV_Subfamily,ICTV_Genus,ICTV_Species,RdRP_id,Taxonid,NR_id,identity,NR_kindom,NR_phylum,NR_class,NR_order,NR_family,NR_genus,NR_species
virga_NP_740760_Broad_bean_necrosis_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Pomovirus,Broad bean necrosis virus,virga_NP_740760_Broad_bean_necrosis_virus,79918,NP_740760.2,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,Broad bean necrosis virus
virga_YP_001974323_Brugmansia_mild_mottle_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Brugmansia mild mottle virus,virga_YP_001974323_Brugmansia_mild_mottle_virus,402399,YP_001974323.2,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Brugmansia mild mottle virus
virga_YP_002455905_Cactus_mild_mottle_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Cactus mild mottle virus,virga_YP_002455905_Cactus_mild_mottle_virus,229030,YP_002455905.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Cactus mild mottle virus
virga_YP_003915153_Frangipani_mosaic_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Frangipani mosaic virus,virga_YP_003915153_Frangipani_mosaic_virus,99585,YP_003915153.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Frangipani mosaic virus
virga_YP_004465358_Passion_fruit_mosaic_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Passion fruit mosaic virus,virga_YP_004465358_Passion_fruit_mosaic_virus,1032457,YP_004465358.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Passion fruit mosaic virus
virga_YP_004956727_Clitoria_yellow_mottle_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Clitoria yellow mottle virus,virga_YP_004956727_Clitoria_yellow_mottle_virus,1128119,YP_004956727.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Clitoria yellow mottle virus
virga_YP_008802584_Yellow_tailflower_mild_mottle_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Yellow tailflower mild mottle virus,virga_YP_008802584_Yellow_tailflower_mild_mottle_virus,1416026,YP_008802584.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Yellow tailflower mild mottle virus
virga_YP_009109559_Macrophomina_phaseolina_tobamo-like_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,,,virga_YP_009109559_Macrophomina_phaseolina_tobamo-like_virus,1527523,YP_009109559.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,unclassified Virgaviridae genus,Macrophomina phaseolina tobamo-like virus
virga_YP_719997_Hibiscus_latent_Singapore_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Hibiscus latent Singapore virus,virga_YP_719997_Hibiscus_latent_Singapore_virus,185955,YP_719997.2,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Hibiscus latent Singapore virus
virga_YP_908760_Cucumber_mottle_virus,Riboviria,Orthornavirae,Kitrinoviricota,,Alsuviricetes,Martellivirales,,Virgaviridae,,Tobamovirus,Cucumber mottle virus,virga_YP_908760_Cucumber_mottle_virus,388038,YP_908760.1,100,Viruses,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,Cucumber mottle virus
UVT84597.1_Botrytis_cinerea_fusarivirus_9_Botrytis_cinerea_1657,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,UVT84597.1_Botrytis_cinerea_fusarivirus_9_Botrytis_cinerea_1657,2975506,UVT84597.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Fusariviridae,unclassified Fusariviridae genus,Botrytis cinerea fusarivirus 9
ULO04603.1_Corynespora_cassiicola_fusarivirus_1_Corynespora_cassiicola_1524,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,ULO04603.1_Corynespora_cassiicola_fusarivirus_1_Corynespora_cassiicola_1524,2919571,ULO04603.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Fusariviridae,unclassified Fusariviridae genus,Corynespora cassiicola fusarivirus 1
QJT73709.1_Botrytis_cinerea_hypovirus_4_Botrytis_cinerea_3345,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Thetahypovirus,,QJT73709.1_Botrytis_cinerea_hypovirus_4_Botrytis_cinerea_3345,2735927,QJT73709.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Thetahypovirus,Thetahypovirus botrytidis
AZT88613.1_Setosphaeria_turcica_hypovirus_1_Exserohilum_turcicum_2751,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,,AZT88613.1_Setosphaeria_turcica_hypovirus_1_Exserohilum_turcicum_2751,2501272,AZT88613.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Hypovirus,Setosphaeria turcica hypovirus 1
AZT88659.1_Rutstroemia_firma_fusarivirus_1_Rutstroemia_firma_1558,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,AZT88659.1_Rutstroemia_firma_fusarivirus_1_Rutstroemia_firma_1558,2501220,AZT88659.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Fusariviridae,Alphafusarivirus,Alphafusarivirus rutstroemiae
YP_009222009.1_Alternaria_brassicicola_fusarivirus_1_1522,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,,,,,,,,,,
YP_009047147.1_Rosellinia_necatrix_fusarivirus_1_1542,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,,,,,,,,,,,
BHNXC41400_Beihai_sipunculid_worm_virus_6,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,BHNXC41400_Beihai_sipunculid_worm_virus_6,1922678,YP_009333562.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Deltahypovirus,Deltahypovirus sipunculidi
BHZC36965_Beihai_hypo-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,BHZC36965_Beihai_hypo-like_virus_1,1922393,YP_009333297.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Deltahypovirus,Deltahypovirus sinicum
WHZM10168_Wuhan_insect_virus_14,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,WHZM10168_Wuhan_insect_virus_14,1923718,YP_009342443.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Alphahypovirus,Alphahypovirus insecti
YP_009130646_Fusarium_graminearum_hypovirus_2,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,YP_009130646_Fusarium_graminearum_hypovirus_2,1640379,YP_009130646.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Hypovirus,Fusarium graminearum hypovirus 2
YP_009051683_Phomopsis_longicolla_hypovirus,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,Betahypovirus phomopsis,YP_009051683_Phomopsis_longicolla_hypovirus,1523858,YP_009051683.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Hypovirus,Phomopsis longicolla hypovirus
YP_009011065_Fusarium_graminearum_hypovirus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,,,YP_009011065_Fusarium_graminearum_hypovirus_1,1284208,YP_009011065.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Alphahypovirus,Alphahypovirus fusarii
YP_008828161_Sclerotinia_sclerotiorum_hypovirus_2,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Thetahypovirus,Thetahypovirus sclerotiniae,YP_008828161_Sclerotinia_sclerotiorum_hypovirus_2,1423347,YP_008828161.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Thetahypovirus,Thetahypovirus sclerotiniae
YP_004782527_Sclerotinia_sclerotiorum_hypovirus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,Betahypovirus sclerotiniae,YP_004782527_Sclerotinia_sclerotiorum_hypovirus_1,1074325,YP_004782527.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Hypovirus,Sclerotinia sclerotiorum hypovirus 1
YP_005476604_Valsa_ceratosperma_hypovirus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,Betahypovirus valsae,YP_005476604_Valsa_ceratosperma_hypovirus_1,1129873,YP_005476604.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Betahypovirus,Betahypovirus valsae
YP_138519_Cryphonectria_hypovirus_4,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,Betahypovirus americanum,YP_138519_Cryphonectria_hypovirus_4,245101,YP_138519.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Betahypovirus,Betahypovirus americanum
NP_613266_Cryphonectria_hypovirus_2,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Alphahypovirus,Alphahypovirus americanum,NP_613266_Cryphonectria_hypovirus_2,40282,NP_613266.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Alphahypovirus,Alphahypovirus americanum
NP_051710_Cryphonectria_hypovirus_3,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Betahypovirus,Betahypovirus cryphonectriae,NP_051710_Cryphonectria_hypovirus_3,106962,NP_051710.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Betahypovirus,Betahypovirus cryphonectriae
NP_041091_Cryphonectria_hypovirus_1,Riboviria,Orthornavirae,Pisuviricota,,Duplopiviricetes,Durnavirales,,Hypoviridae,,Alphahypovirus,Alphahypovirus cryphonectriae,NP_041091_Cryphonectria_hypovirus_1,40281,NP_041091.1,100,Viruses,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Alphahypovirus,Alphahypovirus cryphonectriae
NC_001625_Southern_cowpea_mosaic_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,,NC_001625_Southern_cowpea_mosaic_virus,196398,NP_042302.3,99.634,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Southern cowpea mosaic virus
NC_001696_Lucerne_transient_streak_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Lucerne transient streak virus,NC_001696_Lucerne_transient_streak_virus,12470,YP_007438849.1,99.632,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Lucerne transient streak virus
NC_014509_Velvet_tobacco_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Velvet tobacco mottle virus,NC_014509_Velvet_tobacco_mottle_virus,12473,YP_003896039.2,99.485,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Velvet tobacco mottle virus
NC_011536_Imperata_yellow_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Imperata yellow mottle virus,NC_011536_Imperata_yellow_mottle_virus,524023,YP_007506946.1,99.648,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Imperata yellow mottle virus
NC_011187_Rubus_chlorotic_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Sowbane mosaic virus,NC_011187_Rubus_chlorotic_mottle_virus,378833,CAP79625.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sowbane mosaic virus
NC_002618_Cocksfoot_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Cocksfoot mottle virus,NC_002618_Cocksfoot_mottle_virus,40979,AUF81939.1,99.633,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Cocksfoot mottle virus
NC_004346_Subterranean_clover_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Subterranean clover mottle virus,NC_004346_Subterranean_clover_mottle_virus,12472,AAN51929.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Subterranean clover mottle virus
NC_004553_Turnip_rosette_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Turnip rosette virus,NC_004553_Turnip_rosette_virus,218923,YP_008869286.1,99.624,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Turnip rosette virus
NC_004060_Southern_bean_mosaic_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Southern bean mosaic virus,NC_004060_Southern_bean_mosaic_virus,12139,YP_007438858.2,99.64,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Southern bean mosaic virus
NC_003747_Ryegrass_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Ryegrass mottle virus,NC_003747_Ryegrass_mottle_virus,119910,YP_007438853.1,99.634,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Ryegrass mottle virus
NC_001575_Rice_yellow_mottle_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Rice yellow mottle virus,NC_001575_Rice_yellow_mottle_virus,31744,YP_007500964.1,99.631,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Rice yellow mottle virus
NC_018449_Papaya_lethal_yellowing_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Papaya lethal yellowing virus,NC_018449_Papaya_lethal_yellowing_virus,685899,AFP67700.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Papaya lethal yellowing virus
NC_017914_Artemisia_virus_A,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Artemisia virus A,NC_017914_Artemisia_virus_A,1133751,AFI72874.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Artemisia virus A
NC_016033_Soybean_yellow_common_mosaic_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Soybean yellow common mosaic virus,NC_016033_Soybean_yellow_common_mosaic_virus,1080798,YP_004869651.2,99.639,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Soybean yellow common mosaic virus
NC_002568_Sesbania_mosaic_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Sobemovirus,Sesbania mosaic virus,NC_002568_Sesbania_mosaic_virus,12558,NP_066393.4,99.459,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,Sesbania mosaic virus
DAZ87470.1_Cardamom_polerovirus_Elettaria_cardamomum_1135,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,DAZ87470.1_Cardamom_polerovirus_Elettaria_cardamomum_1135,2754871,DAZ87470.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Cardamom polerovirus
QGY99242.1_Groundnut_rosette_assistor_virus_Arachis_1054,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,QGY99242.1_Groundnut_rosette_assistor_virus_Arachis_1054,33761,QGY99242.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,unclassified Solemoviridae genus,Groundnut rosette assistor virus
BBL52496.1_Persimmon_polerovirus_Diospyros_kaki_1056,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,BBL52496.1_Persimmon_polerovirus_Diospyros_kaki_1056,2590571,BBL52496.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Persimmon polerovirus
QBF54044.1_Zucchini_aphid-borne_yellows_virus_Cucurbita_pepo_1042,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,QBF54044.1_Zucchini_aphid-borne_yellows_virus_Cucurbita_pepo_1042,2527960,QBF54044.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Zucchini aphid-borne yellows virus
YP_010086855.1_Faba_bean_polerovirus_1_1033,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Faba bean polerovirus 1,YP_010086855.1_Faba_bean_polerovirus_1_1033,2283388,YP_010086855.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Faba bean polerovirus 1
CJLX30310_Changjiang_polero-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,CJLX30310_Changjiang_polero-like_virus_1,1922799,YP_009337098.1,100,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Changjiang polero-like virus 1
WHCC118254_Hubei_polero-like_virus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,,,,,,,,,,,
QTM26674_Hubei_polero-like_virus_2,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,QTM26674_Hubei_polero-like_virus_2,1923170,UVK78432.1,98.661,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,unclassified Viruses family,unclassified Viruses genus,Hubei polero-like virus 2
NC_012931_Wheat_yellow_dwarf_virus-GPV,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Barley yellow dwarf virus GPV,NC_012931_Wheat_yellow_dwarf_virus-GPV,572239,YP_003029839.2,99.839,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Wheat yellow dwarf virus-GPV
NC_004751_Cereal_yellow_dwarf_virus-RPV,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Cereal yellow dwarf virus RPV,NC_004751_Cereal_yellow_dwarf_virus-RPV,2170100,AAA42866.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Cereal yellow dwarf virus RPV
NC_002198_Cereal_yellow_dwarf_virus-RPS,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Cereal yellow dwarf virus RPS,NC_002198_Cereal_yellow_dwarf_virus-RPS,228582,AAF62532.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Cereal yellow dwarf virus RPS
NC_003688_Cucurbit_aphid-borne_yellows_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Cucurbit aphid-borne yellows virus,NC_003688_Cucurbit_aphid-borne_yellows_virus,91753,CAA54251.2,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Cucurbit aphid-borne yellows virus
NC_010809_Melon_aphid-borne_yellows_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Melon aphid-borne yellows virus,NC_010809_Melon_aphid-borne_yellows_virus,471717,ABV55637.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Melon aphid-borne yellows virus
NC_004756_Beet_western_yellows_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Beet western yellows virus,NC_004756_Beet_western_yellows_virus,12042,AAM22681.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Beet western yellows virus
NC_003491_Beet_mild_yellowing_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Beet mild yellowing virus,NC_003491_Beet_mild_yellowing_virus,156690,AGD99099.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Beet mild yellowing virus
NC_021484_Maize_yellow_dwarf_virus-RMV,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Maize yellow dwarf virus RMV,NC_021484_Maize_yellow_dwarf_virus-RMV,2170101,YP_008083739.1,99.652,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Maize yellow dwarf virus RMV
NC_015050_Pepper_vein_yellows_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Pepper vein yellows virus 1,NC_015050_Pepper_vein_yellows_virus,909827,YP_004207916.3,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Pepper vein yellows virus
NC_010732_Tobacco_vein_distorting_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Tobacco vein distorting virus,NC_010732_Tobacco_vein_distorting_virus,192203,YP_001931931.2,98.311,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Tobacco vein distorting virus
NP_620495_Saccharomyces_cerevisiae_virus_L-A,Riboviria,Orthornavirae,Duplornaviricota,,Chrymotiviricetes,Ghabrivirales,,Totiviridae,,Totivirus,Saccharomyces cerevisiae virus L-A,NP_620495_Saccharomyces_cerevisiae_virus_L-A,11008,NP_620495.1,100,Viruses,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,Saccharomyces cerevisiae virus L-A
YP_009019197_ROUT_virus,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Ellioviricetes,Bunyavirales,,Arenaviridae,,Reptarenavirus,Reptarenavirus rotterdamense,YP_009019197_ROUT_virus,1303019,YP_009019197.1,100,Viruses,Negarnaviricota,Ellioviricetes,Bunyavirales,Arenaviridae,Reptarenavirus,Rotterdam reptarenavirus
NC_014545_Cotton_leafroll_dwarf_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Cotton leafroll dwarf virus,NC_014545_Cotton_leafroll_dwarf_virus,312295,YP_003915148.1,99.828,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Cotton leafroll dwarf virus
NC_008249_Chickpea_chlorotic_stunt_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Chickpea chlorotic stunt virus,NC_008249_Chickpea_chlorotic_stunt_virus,328430,AAY90038.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Chickpea chlorotic stunt virus
NC_006265_Carrot_red_leaf_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Carrot red leaf virus,NC_006265_Carrot_red_leaf_virus,66200,YP_077186.1,99.831,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Carrot red leaf virus
NC_001747_Potato_leafroll_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,NC_001747_Potato_leafroll_virus,12045,BAA00418.1,100,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Potato leafroll virus
NC_025435_Strawberry_polerovirus_1,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,NC_025435_Strawberry_polerovirus_1,1564903,YP_009100303.1,99.838,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Strawberry polerovirus 1
NC_002766_Beet_chlorosis_virus,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,Beet chlorosis virus,NC_002766_Beet_chlorosis_virus,131082,AAK49956.1,99.51,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Beet chlorosis virus
NC_025837_Sauropus_yellowing_virus_isolate,Riboviria,Orthornavirae,Pisuviricota,,Pisoniviricetes,Sobelivirales,,Solemoviridae,,Polerovirus,,NC_025837_Sauropus_yellowing_virus_isolate,1577997,YP_009111314.1,99.306,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Sauropus yellowing virus
