RdRp_sseqid,super_group,Accession_id
flavi-like_YP_009305197_Anopheles_flavivirus_variant_1,Flavi,YP_009305197
flavi-like_YP_009325391_Equine_hepacivirus_JPN3_JAPAN_2013,Flavi,YP_009325391
flavi-like_YP_009325401_Norway_rat_hepacivirus_1,Flavi,YP_009325401
flavi-like_YP_009325411_Norway_rat_hepacivirus_2,Flavi,YP_009325411
flavi-like_YP_009329957_Saint_Louis_encephalitis_virus,Flavi,YP_009329957
flavi-like_YP_009333115_Cacipacore_virus,Flavi,YP_009333115
flavi-like_YP_009333131_Kokobera_virus,Flavi,YP_009333131
flavi-like_YP_009344961_Bouboui_virus,Flavi,YP_009344961
flavi-like_YP_009344962_Palm_Creek_virus,Flavi,YP_009344962
flavi-like_YP_009344967_Saboya_virus,Flavi,YP_009344967
flavi-like_YP_009344968_Uganda_S_virus,Flavi,YP_009344968
flavi-like_YP_009344969_Jugra_virus,Flavi,YP_009344969
flavi-like_YP_009345019_Nounane_virus,Flavi,YP_009345019
flavi-like_YP_009345031_Meaban_virus,Flavi,YP_009345031
flavi-like_YP_009345034_Gadgets_Gully_virus,Flavi,YP_009345034
flavi-like_YP_009345035_Kadam_virus,Flavi,YP_009345035
flavi-like_YP_009345036_Bamaga_virus,Flavi,YP_009345036
flavi-like_YP_009345037_Saumarez_Reef_virus,Flavi,YP_009345037
flavi-like_YP_009350101_Phnom_Penh_bat_virus,Flavi,YP_009350101
flavi-like_YP_009350102_Xishuangbanna_aedes_flavivirus,Flavi,YP_009350102
flavi-like_YP_009350103_Yaounde_virus,Flavi,YP_009350103
flavi-like_YP_009351820_T_Ho_virus,Flavi,YP_009351820
flavi-like_YP_009351861_Menghai_flavivirus,Flavi,YP_009351861
flavi-like_YP_009352228_Ochlerotatus_caspius_flavivirus,Flavi,YP_009352228
flavi-like_YP_009361867_Pegivirus_K,Flavi,YP_009361867
flavi-like_YP_009388303_Apis_flavivirus,Flavi,YP_009388303
flavi-like_YP_009388577_Karumba_virus,Flavi,YP_009388577
flavi-like_YP_009389296_Mac_Peak_virus,Flavi,YP_009389296
flavi-like_YP_009407716_Linda_virus,Flavi,YP_009407716
flavi-like_YP_009506358_Hepacivirus_F,Flavi,YP_009506358
flavi-like_YP_009506359_Hepacivirus_I,Flavi,YP_009506359
flavi-like_YP_009506360_Hepacivirus_J,Flavi,YP_009506360
flavi-like_YP_009506361_Hepacivirus_K,Flavi,YP_009506361
flavi-like_YP_009506362_Hepacivirus_M,Flavi,YP_009506362
flavi-like_YP_009506363_Hepacivirus_N,Flavi,YP_009506363
flavi-like_YP_009506365_Pegivirus_F,Flavi,YP_009506365
flavi-like_YP_009506366_Pegivirus_G,Flavi,YP_009506366
flavi-like_YP_009506367_Human_hepegivirus,Flavi,YP_009506367
flavi-like_YP_009506368_Pegivirus_I,Flavi,YP_009506368
flavi-like_YP_009508311_Porcine_pestivirus_1,Flavi,YP_009508311
flavi-like_YP_009509004_Theiler_s_disease-associated_virus,Flavi,YP_009509004
flavi-like_YP_009513189_Kyasanur_Forest_disease_virus,Flavi,YP_009513189
flavi-like_YP_009513190_Royal_Farm_virus,Flavi,YP_009513190
flavi-like_YP_009513240_Bovine_diarrhea_virus_2,Flavi,YP_009513240
flavi-like_YP_009551951_Lumpfish_flavivirus,Flavi,YP_009551951
flavi-like_YP_009552278_Nanay_virus,Flavi,YP_009552278
flavi-like_YP_009552767_Culex_Flavi-like_virus,Flavi,YP_009552767
flavi-like_YP_009553010_Culex_theileri_flavivirus,Flavi,YP_009553010
flavi-like_YP_009553376_Kampung_Karu_virus,Flavi,YP_009553376
flavi-like_YP_009553586_Hepacivirus_P,Flavi,YP_009553586
flavi-like_YP_009664192_Bat_hepacivirus,Flavi,YP_009664192
flavi-like_YP_009664202_Non-primate_hepacivirus_NZP1,Flavi,YP_009664202
flavi-like_YP_164264_Usutu_virus,Flavi,YP_164264
flavi-like_YP_8994692_Culex_flavivirus,Flavi,YP_8994692
flavi-like_YP_950477_Entebbe_bat_virus,Flavi,YP_950477
flavi-like_YP_950478_Sepik_virus,Flavi,YP_950478
flavi-like_YP_007877501_Mosquito_flavivirus,Flavi,YP_007877501
flavi-like_NP_658908_Tamana_bat_virus,Flavi,NP_658908
flavi-like_ACF19853_Toxocara_canis,Flavi,ACF19853
flavi-like_QFR36175_Jingmen_tick_virus,Flavi,QFR36175
flavi-like_YP_007438864_Gentian_Kobu-sho-associated_virus,Flavi,YP_007438864
flavi-like_Cartilaginous_DHHSYSCGS2055_Wenling_pesti-like_virus_2_12542bp,Flavi,DHHSYSCGS2055
flavi-like_Cartilaginous_WZSS31331_Wenzhou_pesti-like_virus_1_11451bp,Flavi,WZSS31331
flavi-like_Cartilaginous_NHJSG28899_Nanhai_dogfish_shark_pesti-like_virus_7797bp,Flavi,NHJSG28899
flavi-like_Cartilaginous_XMTSYG10372_Xiamen_fanray_pesti-like_virus_11039bp,Flavi,XMTSYG10372
flavi-like_Cartilaginous_WZSS16343_Wenzhou_shark_flavivirus_10670bp,Flavi,WZSS16343
flavi-like_Reptile_YLSHG5584_Yili_teratoscincus_roborowskii_hepacivirus_11770bp,Flavi,YLSHG5584
flavi-like_Rayfin_XMLMGHepa10640_Wenling_moray_eel_hepacivirus_8749bp,Flavi,XMLMGHepa10640
flavi-like_Reptile_LPXYG13170_Hainan_oriental_leaf-toed_gecko_hepacivirus_10376bp,Flavi,LPXYG13170
flavi-like_Reptile_PXJHG3419_Guangxi_chinese_leopard_gecko_hepacivirus_12291bp,Flavi,PXJHG3419
flavi-like_Cartilaginous_BWLTYG5315_Xiamen_guitarfish_hepacivirus_9950bp,Flavi,BWLTYG5315
flavi-like_Cartilaginous_DHHHBHGS10983_Xiamen_sepia_Stingray_hepacivirus_11009bp,Flavi,DHHHBHGS10983
flavi-like_Lungfish_FZFYG124617_Western_African_lungfish_hepacivirus_10272bp,Flavi,FZFYG124617
flavi-like_Cartilaginous_NHJSG30635_Guangxi_houndshark_hepacivirus_9751bp,Flavi,NHJSG30635
flavi-like_Cartilaginous_NHJSG30261_Nanhai_dogfish_shark_hepacivirus_9175bp,Flavi,NHJSG30261
flavi-like_Cartilaginous_NHYJG60722_Nanhai_ghost_shark_hepacivirus_1_9405bp,Flavi,NHYJG60722
flavi-like_Cartilaginous_NHYJG60710_Nanhai_ghost_shark_hepacivirus_2_10630bp,Flavi,NHYJG60710
flavi-like_Cartilaginous_RBCSG7845_Guangxi_houndshark_hepacivirus_9729bp,Flavi,RBCSG7845
flavi-like_Reptile_WHJYGF75270_Chinese_softshell_turtle_hepacivirus_9194bp,Flavi,WHJYGF75270
flavi-like_Reptile_WHWGGF64311_Chinese_broad-headed_pond_turtle_hepacivirus_8764bp,Flavi,WHWGGF64311
flavi-like_YP_009328360_New_Mapoon_virus,Flavi,YP_009328360
flavi-like_YP_009222007_Banzi_virus,Flavi,YP_009222007
flavi-like_YP_001621843_Dengue_virus_3,Flavi,YP_001621843
flavi-like_YP_001008348_St_Louis_encephalitis_virus,Flavi,YP_001008348
flavi-like_YP_224133_Karshi_virus,Flavi,YP_224133
flavi-like_NP_722551_Alkhumra_hemorrhagic_fever_virus,Flavi,NP_722551
flavi-like_NP_073286_Dengue_virus_4,Flavi,NP_073286
flavi-like_NP_620044_Rio_Bravo_virus,Flavi,NP_620044
flavi-like_NP_056776_Dengue_virus_2,Flavi,NP_056776
flavi-like_AFJ20709_horse_Hepacivirus_NPHV,Flavi,AFJ20709
flavi-like_YP_009058898_Equine_hepacivirus,Flavi,YP_009058898
flavi-like_YP_001469631_Hepatitis_C_virus_genotype_3,Flavi,YP_001469631
flavi-like_YP_001469634_Hepatitis_C_virus_genotype_6,Flavi,YP_001469634
flavi-like_YP_001469630_Hepatitis_C_virus_genotype_2,Flavi,YP_001469630
flavi-like_YP_001469633_Hepatitis_C_virus_genotype_5,Flavi,YP_001469633
flavi-like_YP_001469632_Hepatitis_C_virus_genotype_4,Flavi,YP_001469632
flavi-like_YP_009044207_Simian_pegivirus,Flavi,YP_009044207
flavi-like_NP_045010_GB_virus_A,Flavi,NP_045010
flavi-like_NP_043570_GB_virus_C,Flavi,NP_043570
flavi-like_ADK12629_GB_virus_D,Flavi,ADK12629
flavi-like_Q69422_GB_virus_B,Flavi,Q69422
flavi-like_WHCCII13291_Wuhan_aphid_virus_1,Flavi,WHCCII13291
flavi-like_insect97238_Shuangao_lacewing_virus_2,Flavi,insect97238_Shuangao
flavi-like_fly11645_Shayang_fly_virus_4,Flavi,fly11645_Shayang
flavi-like_WHCCII13325_Xingshan_cricket_virus,Flavi,WHCCII13325
flavi-like_SXSSP2490_Sanxia_water_strider_virus_6,Flavi,SXSSP2490
flavi-like_tick109186_Bole_tick_virus_4,Flavi,tick109186
flavi-like_tick109204_Tacheng_tick_virus_8,Flavi,tick109204
flavi-like_spider130389_Xinzhou_spider_virus_2,Flavi,spider130389
flavi-like_spider134014_Shayang_spider_virus_4,Flavi,spider134014
flavi-like_BBV14763_Barley_aphid_RNA_virus_10,Flavi,BBV14763
flavi-like_BBV14762_Barley_aphid_RNA_virus_9,Flavi,BBV14762
flavi-like_YP_009684363_Guereza_hepacivirus,Flavi,YP_009684363
flavi-like_YP_009679023_Hepacivirus_L,Flavi,YP_009679023
hepe-virga-like_BDT53067_wheat_closterovirus_1_Triticum_aestivum_2898,Hepe-Virga,BDT53067
hepe-virga-like_WDD63198_Miscanthus_virus_M_Miscanthus_1773,Hepe-Virga,WDD63198
hepe-virga-like_WCU24521_Pleurotus_ostreatus_deltaflexivirus_1_Pleurotus_ostreatus_1979,Hepe-Virga,WCU24521
hepe-virga-like_WCD42514_Hibiscus_latent_Hawaii_virus_Hibiscus_rosa_sinensis_1647,Hepe-Virga,WCD42514
hepe-virga-like_WCD56788_Cucurbit_chlorotic_yellows_virus_Cucumis_sativus_2492,Hepe-Virga,WCD56788
hepe-virga-like_WCC72446_Rose_virus_B_Rosa_sp_1985,Hepe-Virga,WCC72446
hepe-virga-like_WCB70348_Prunus_virus_I_Clematis_808,Hepe-Virga,WCB70348
hepe-virga-like_WBY54311_Chrysanthemum_virus_B_Chrysanthemum_x_morifolium_2096,Hepe-Virga,WBY54311
hepe-virga-like_BDW14813_Sewage_associated_tobamovirus_1625,Hepe-Virga,BDW14813
hepe-virga-like_WBG54170_Tomato_chlorosis_virus_Solanum_lycopersicum_2450,Hepe-Virga,WBG54170
hepe-virga-like_WBG54254_Erysimum_leaf_mottle_virus_Erysimum_1822,Hepe-Virga,WBG54254
hepe-virga-like_WBG54257_Turnip_yellow_mosaic_virus_Brassica_rapa_1844,Hepe-Virga,WBG54257
hepe-virga-like_WAB51676_nege_like_virus_1_Atractomorpha_sinensis_2816,Hepe-Virga,WAB51676
hepe-virga-like_UVF62069_Erysiphe_necator_associated_deltaflexivirus_4_Dermacentor_silvarum_2056,Hepe-Virga,UVF62069
hepe-virga-like_UVF62074_Agrostis_stolonifera_deltaflexivirus_1_Ixodes_persulcatus_2059,Hepe-Virga,UVF62074
hepe-virga-like_UZH96199_African_eggplant_associated_virus_Solanum_macrocarpon_1615,Hepe-Virga,UZH96199
hepe-virga-like_UZH98847_rose_ilarvirus_2_Rosa_826,Hepe-Virga,UZH98847
hepe-virga-like_BDQ13824_Fusarium_deltaflexivirus_2_Fusarium_oxysporum_f_sp_melonis_1962,Hepe-Virga,BDQ13824
hepe-virga-like_UZC46350_Sclerotinia_sclerotiorum_deltaflexivirus_3_Sclerotinia_sclerotiorum_2071,Hepe-Virga,UZC46350
hepe-virga-like_UYL94274_Hallsjon_virus_Ochlerotatus_cf_punctor_punctodes_4491,Hepe-Virga,UYL94274
hepe-virga-like_UYP65661_Apple_ilarvirus_2_Malus_domestica_816,Hepe-Virga,UYP65661
hepe-virga-like_UYG50035_Alcea_yellow_mosaic_virus_Alcea_rosea_1893,Hepe-Virga,UYG50035
hepe-virga-like_UYD40977_Rudbeckia_citrivirus_A_Rudbeckia_2002,Hepe-Virga,UYD40977
hepe-virga-like_UXX34097_Pseudostellaria_heterophylla_carlavirus_1_Pseudostellaria_heterophylla_2025,Hepe-Virga,UXX34097
hepe-virga-like_UXX34103_Pseudostellaria_heterophylla_carlavirus_2_Pseudostellaria_heterophylla_1958,Hepe-Virga,UXX34103
hepe-virga-like_UXX34109_Pseudostellaria_heterophylla_carlavirus_3_Pseudostellaria_heterophylla_1960,Hepe-Virga,UXX34109
hepe-virga-like_UXX34121_Stevia_carlavirus_1_Pseudostellaria_heterophylla_1957,Hepe-Virga,UXX34121
hepe-virga-like_UXP11829_Soybean_ilarvirus_I_Glycine_max_812,Hepe-Virga,UXP11829
hepe-virga-like_UXP34781_Garlic_virus_J_Allium_sativum_1738,Hepe-Virga,UXP34781
hepe-virga-like_UXP72574_Lonicera_maackii_endornavirus_5363,Hepe-Virga,UXP72574
hepe-virga-like_UXN85468_Olive_virus_T_Olea_europaea_1778,Hepe-Virga,UXN85468
hepe-virga-like_UXM19205_Rubivirus_strelense_Notamacropus_rufogriseus_1921,Hepe-Virga,UXM19205
hepe-virga-like_UWV86607_Rocahepevirus_ratti_Microtus_fortis_1706,Hepe-Virga,UWV86607
hepe-virga-like_UWS64431_Sea_buckthorn_marafivirus_Hippophae_rhamnoides_1954,Hepe-Virga,UWS64431
hepe-virga-like_UTR30272_Hymenoscyphus_fraxineus_endornavirus_1_Hymenoscyphus_fraxineus_3539,Hepe-Virga,UTR30272
hepe-virga-like_UVJ49773_Rose_virus_C_Rosa_2025,Hepe-Virga,UVJ49773
hepe-virga-like_UVJ69094_Paris_polyphylla_severe_chlorotic_mottle_virus_Paris_polyphylla_var_yunnanensis_2049,Hepe-Virga,UVJ69094
hepe-virga-like_UVA86899_Cole_mild_mosaic_virus_Brassica_oleracea_var_viridis_1965,Hepe-Virga,UVA86899
hepe-virga-like_UTS51944_Scallop_hepe_like_virus_1858,Hepe-Virga,UTS51944
hepe-virga-like_UUV42173_Dezidougou_virus_Ochlerotatus_communis_2246,Hepe-Virga,UUV42173
hepe-virga-like_UUV42176_Kustavi_negevirus_Ochlerotatus_caspius_2251,Hepe-Virga,UUV42176
hepe-virga-like_UUV42179_Utsjoki_negevirus_1_Ochlerotatus_communis_2355,Hepe-Virga,UUV42179
hepe-virga-like_UUB84580_Blueberry_virus_S_Vaccinium_1972,Hepe-Virga,UUB84580
hepe-virga-like_UUB84586_Pineapple_vitivirus_A_Ananas_comosus_1515,Hepe-Virga,UUB84586
hepe-virga-like_UUA80621_Likani_virus_1718,Hepe-Virga,UUA80621
hepe-virga-like_BDP28905_Plantago_asiatica_mosaic_virus_Lilium_1381,Hepe-Virga,BDP28905
hepe-virga-like_UQZ09543_Freshwater_macrophyte_associated_alphaflexi_like_virus_1_1447,Hepe-Virga,UQZ09543
hepe-virga-like_UQZ09557_Freshwater_macrophyte_associated_hepe_like_virus_1_1646,Hepe-Virga,UQZ09557
hepe-virga-like_UTS84205_Passion_fruit_yellow_mosaic_virus_Passiflora_edulis_1768,Hepe-Virga,UTS84205
hepe-virga-like_UTQ50859_Tomato_ilarvirus_1_Solanum_lycopersicum_808,Hepe-Virga,UTQ50859
hepe-virga-like_UTQ50864_Solanum_nigrum_ilarvirus_1_Physalis_796,Hepe-Virga,UTQ50864
hepe-virga-like_UTI93304_Chaenostoma_potexvirus_Chaenostoma_cordatum_1362,Hepe-Virga,UTI93304
hepe-virga-like_QOE88790_Cucumber_endornavirus_1_Cucumis_sativus_4967,Hepe-Virga,QOE88790
hepe-virga-like_USF91879_polyscias_capillovirus_1_Polyscias_balfouriana_2096,Hepe-Virga,USF91879
hepe-virga-like_USF91881_polyscias_citrivirus_1_Polyscias_balfouriana_1935,Hepe-Virga,USF91881
hepe-virga-like_URQ09136_Halyomorpha_halys_negev_like_virus_1_Halyomorpha_halys_1741,Hepe-Virga,URQ09136
hepe-virga-like_URN79270_Citrus_leprosis_virus_C_Citrus_sinensis_2512,Hepe-Virga,URN79270
hepe-virga-like_URC17563_Citrus_leaf_blotch_virus_2_1951,Hepe-Virga,URC17563
hepe-virga-like_UQV97394_Pueraria_lobata_associated_crinivirus_Pueraria_montana_var_lobata_2499,Hepe-Virga,UQV97394
hepe-virga-like_UQR78688_Thesium_chinense_closterovirus_1_Thesium_chinense_2957,Hepe-Virga,UQR78688
hepe-virga-like_UQS94367_Bramycfau_virus_1_Mycetophylax_faunulus_2444,Hepe-Virga,UQS94367
hepe-virga-like_UQS94369_Bramycfau_virus_3_Mycetophylax_faunulus_2600,Hepe-Virga,UQS94369
hepe-virga-like_UQS94371_Brapardiv_virus_1_Paratrachymyrmex_diversus_2473,Hepe-Virga,UQS94371
hepe-virga-like_UQS94372_Brapardiv_virus_2_Paratrachymyrmex_diversus_2326,Hepe-Virga,UQS94372
hepe-virga-like_UQS94373_Brapardiv_virus_3_Paratrachymyrmex_diversus_2464,Hepe-Virga,UQS94373
hepe-virga-like_UQS94378_Bramyrmic_virus_1_Myrmicocrypta_2505,Hepe-Virga,UQS94378
hepe-virga-like_UQS94381_Bramycfau_virus_5_Mycetophylax_faunulus_2666,Hepe-Virga,UQS94381
hepe-virga-like_UQS94385_Bramycfau_virus_7_Mycetophylax_faunulus_3027,Hepe-Virga,UQS94385
hepe-virga-like_UNI72649_Botrytis_cinerea_mycotymovirus_1_Botrytis_cinerea_2347,Hepe-Virga,UNI72649
hepe-virga-like_UPT53668_Bactrocera_dorsalis_negev_like_virus_isolate_Bc_Bactrocera_correcta_2171,Hepe-Virga,UPT53668
hepe-virga-like_UPT53679_Zeugodacus_tau_negev_like_virus_Zeugodacus_tau_2071,Hepe-Virga,UPT53679
hepe-virga-like_UPT53696_Zeugodacus_cucurbitae_negev_like_virus_Zeugodacus_cucurbitae_2132,Hepe-Virga,UPT53696
hepe-virga-like_UPO25292_Lily_alphaendornavirus_Lilium_5247,Hepe-Virga,UPO25292
hepe-virga-like_UPI40893_Cactus_tobamovirus_2_Cactaceae_1641,Hepe-Virga,UPI40893
hepe-virga-like_UPH34252_Botrytis_cinerea_endornavirus_4_Botrytis_cinerea_4546,Hepe-Virga,UPH34252
hepe-virga-like_UOI84717_Ceratitis_capitata_negev_like_virus_2_Ceratitis_capitata_2151,Hepe-Virga,UOI84717
hepe-virga-like_UOH28271_Kudzu_virus_D_Pueraria_montana_1802,Hepe-Virga,UOH28271
hepe-virga-like_UNY77516_Sclerotinia_sclerotiorum_endornavirus_11_Sclerotinia_sclerotiorum_3928,Hepe-Virga,UNY77516
hepe-virga-like_UNH55537_Solanum_violifolium_ringspot_virus_Ligustrum_lucidum_2472,Hepe-Virga,UNH55537
hepe-virga-like_UNH55552_Ligustrum_chlorotic_spot_virus_Ligustrum_japonicum_2409,Hepe-Virga,UNH55552
hepe-virga-like_UNH55562_Ligustrum_leprosis_virus_Ligustrum_sinense_2525,Hepe-Virga,UNH55562
hepe-virga-like_DAZ87284_Arceuthobium_sichuanense_virus_3_Arceuthobium_sichuanense_2071,Hepe-Virga,DAZ87284
hepe-virga-like_UMZ58570_Setosphaeria_turcica_endornavirus_1_Exserohilum_turcicum_3877,Hepe-Virga,UMZ58570
hepe-virga-like_QYF50219_Hubei_sediment_hepe_like_virus_4_1414,Hepe-Virga,QYF50219
hepe-virga-like_QYF50221_Zhejiang_porcine_bastro_like_virus_1267,Hepe-Virga,QYF50221
hepe-virga-like_QYF50226_Beijing_sediment_alphaflexivirus_1287,Hepe-Virga,QYF50226
hepe-virga-like_QYF50231_Hainan_sediment_alphaflexivirus_1_1303,Hepe-Virga,QYF50231
hepe-virga-like_QYF50236_RNA_Xinjiang_alphaflexivirus_2_RNA_1291,Hepe-Virga,QYF50236
hepe-virga-like_QYF50247_Xinjiang_sediment_betaflexivirus_1_1915,Hepe-Virga,QYF50247
hepe-virga-like_QYF50259_Hainan_betaflexivirus_1988,Hepe-Virga,QYF50259
hepe-virga-like_QYF50265_Beijing_sediment_betaflexivirus_2036,Hepe-Virga,QYF50265
hepe-virga-like_QYF50271_Zhejiang_betaflexivirus_2_1860,Hepe-Virga,QYF50271
hepe-virga-like_QYW08476_Hubei_sediment_virgavirus_1_1676,Hepe-Virga,QYW08476
hepe-virga-like_QYW08488_Yunnan_virgavirus_3_1624,Hepe-Virga,QYW08488
hepe-virga-like_BDB16630_Scopolia_mild_mottle_virus_Scopolia_japonica_1619,Hepe-Virga,BDB16630
hepe-virga-like_ULN99160_Pterostylis_alphaendornavirus_Pterostylis_nutans_4944,Hepe-Virga,ULN99160
hepe-virga-like_UKY18867_Butterbur_mosaic_virus_Daphne_odora_2000,Hepe-Virga,UKY18867
hepe-virga-like_BDF97664_Rhizopus_microsporus_endornavirus_1_Rhizopus_microsporus_4492,Hepe-Virga,BDF97664
hepe-virga-like_BDF97665_Rhizopus_microsporus_endornavirus_2_Rhizopus_microsporus_3855,Hepe-Virga,BDF97665
hepe-virga-like_UKT68824_Grapevine_virus_N_Vitis_vinifera_1704,Hepe-Virga,UKT68824
hepe-virga-like_UKT68849_Grapevine_virus_O_Vitis_vinifera_1697,Hepe-Virga,UKT68849
hepe-virga-like_UKQ12872_Hogweed_virus_4_Chenopodium_quinoa_1884,Hepe-Virga,UKQ12872
hepe-virga-like_DAZ85788_Cardamom_virus_X_Elettaria_cardamomum_1335,Hepe-Virga,DAZ85788
hepe-virga-like_UJG81400_replication_Cowpea_mild_mottle_virus_replication_Vigna_mungo_1819,Hepe-Virga,UJG81400
hepe-virga-like_UIK24036_Musa_ornata_associated_banmivirus_1738,Hepe-Virga,UIK24036
hepe-virga-like_UIC73707_Grapevine_virus_L_Vitis_vinifera_1696,Hepe-Virga,UIC73707
hepe-virga-like_UHR49852_Oryza_sativa_alphaendornavirus_4573,Hepe-Virga,UHR49852
hepe-virga-like_QNJ34493_Aconite_virus_AAconitum_carmichaelii_2057,Hepe-Virga,QNJ34493
hepe-virga-like_UHM27517_Sanya_virga_like_virus_1_2088,Hepe-Virga,UHM27517
hepe-virga-like_UHM27523_Sanya_virga_like_virus_2_3192,Hepe-Virga,UHM27523
hepe-virga-like_UHM27586_Sanya_endornavirus_1_Ochthera_mantis_2185,Hepe-Virga,UHM27586
hepe-virga-like_UHM27606_Fushun_naranga_aenescens_virga_like_virus_1_2705,Hepe-Virga,UHM27606
hepe-virga-like_UHK03084_Guiyang_benyvirus_1_1379,Hepe-Virga,UHK03084
hepe-virga-like_UHK03121_Sanya_benyvirus_1_1405,Hepe-Virga,UHK03121
hepe-virga-like_UHK03152_Hangzhou_hepevirus_1_2303,Hepe-Virga,UHK03152
hepe-virga-like_UHK03186_Hangzhou_Virga_like_virus_1_2575,Hepe-Virga,UHK03186
hepe-virga-like_UHK03236_Hangzhou_merodon_fulcratus_virga_like_virus_1_2391,Hepe-Virga,UHK03236
hepe-virga-like_UHH90109_Fagopyrum_esculentum_endornavirus_2_Fagopyrum_esculentum_5174,Hepe-Virga,UHH90109
hepe-virga-like_UGM45790_Hepelivirales_sp_Haemaphysalis_longicornis_1771,Hepe-Virga,UGM45790
hepe-virga-like_UEV87772_Sweet_potato_chlorotic_fleck_virus_Ipomoea_batatas_2090,Hepe-Virga,UEV87772
hepe-virga-like_QID59362_Sorghum_almum_marafivirus_Sorghum_x_almum_1990,Hepe-Virga,QID59362
hepe-virga-like_UEP18559_Physalis_virus_X_Physalis_peruviana_1340,Hepe-Virga,UEP18559
hepe-virga-like_QPB74031_Rosa_ilarvirus_1_Rosa_848,Hepe-Virga,QPB74031
hepe-virga-like_UED13285_Pennisetum_glaucum_marafivirus_Cenchrus_americanus_2020,Hepe-Virga,UED13285
hepe-virga-like_UCR92517_Apis_virga_like_virus_2543,Hepe-Virga,UCR92517
hepe-virga-like_UCY33660_water_chestnut_virus_A_Trapa_natans_886,Hepe-Virga,UCY33660
hepe-virga-like_UCJ00442_Cherry_necrotic_rusty_mottle_virus_Prunus_2039,Hepe-Virga,UCJ00442
hepe-virga-like_UCJ00713_Grapevine_virus_A_Vitis_vinifera_1710,Hepe-Virga,UCJ00713
hepe-virga-like_UCJ00997_Apple_chlorotic_leaf_spot_virus_Prunus_persica_1881,Hepe-Virga,UCJ00997
hepe-virga-like_UBY00457_Hibiscus_infecting_cilevirus_Passiflora_edulis_2510,Hepe-Virga,UBY00457
hepe-virga-like_UBK24595_Microbat_bastrovirus_Eptesicus_regulus_1258,Hepe-Virga,UBK24595
hepe-virga-like_QXO33012_Rubber_tree_latent_virus_1_Hevea_brasiliensis_2601,Hepe-Virga,QXO33012
hepe-virga-like_QZN83593_Tomato_fruit_blotch_virus_Solanum_lycopersicum_1118,Hepe-Virga,QZN83593
hepe-virga-like_QYB17358_wheat_yellow_stunt_associated_betaflexivirus_Triticum_aestivum_2070,Hepe-Virga,QYB17358
hepe-virga-like_QVY47450_Agapanthus_carlavirus_B_Agapanthus_2008,Hepe-Virga,QVY47450
hepe-virga-like_QVE55509_Pomes_virus_Greece_Pyrus_communis_2031,Hepe-Virga,QVE55509
hepe-virga-like_QSE37566_Citrus_associated_ampelovirus_2_Citrus_1706,Hepe-Virga,QSE37566
hepe-virga-like_QWY93789_Green_Sichuan_pepper_idaeovirus_Zanthoxylum_armatum_1696,Hepe-Virga,QWY93789
hepe-virga-like_QWY93831_Green_Sichuan_pepper_ilarvirus_Zanthoxylum_armatum_766,Hepe-Virga,QWY93831
hepe-virga-like_QGQ59356_Agua_Salud_negevirus_Culex_declarator_2262,Hepe-Virga,QGQ59356
hepe-virga-like_QKN22636_Erysiphe_necator_associated_virga_like_virus_3_1129,Hepe-Virga,QKN22636
hepe-virga-like_QKN22637_Erysiphe_necator_associated_virga_like_virus_4_1148,Hepe-Virga,QKN22637
hepe-virga-like_QKN22646_Erysiphe_necator_associated_flexivirus_2_Erysiphe_necator_1979,Hepe-Virga,QKN22646
hepe-virga-like_QKN22647_Erysiphe_necator_associated_deltaflexivirus_2_Erysiphe_necator_2100,Hepe-Virga,QKN22647
hepe-virga-like_QKN22650_Erysiphe_necator_associated_virga_like_virus_13_1162,Hepe-Virga,QKN22650
hepe-virga-like_QKN22658_Erysiphe_necator_associated_virga_like_virus_5_1143,Hepe-Virga,QKN22658
hepe-virga-like_QKN22665_Erysiphe_necator_associated_virga_like_virus_6_1144,Hepe-Virga,QKN22665
hepe-virga-like_QKN22669_Erysiphe_necator_associated_virga_like_virus_2_2368,Hepe-Virga,QKN22669
hepe-virga-like_QKN22675_Erysiphe_necator_associated_flexivirus_3_Erysiphe_necator_1992,Hepe-Virga,QKN22675
hepe-virga-like_QKN22676_Erysiphe_necator_associated_virga_like_virus_7_1147,Hepe-Virga,QKN22676
hepe-virga-like_QKN22686_Erysiphe_necator_associated_flexivirus_1_Erysiphe_necator_1943,Hepe-Virga,QKN22686
hepe-virga-like_QKN22687_Erysiphe_necator_associated_virga_like_virus_8_1130,Hepe-Virga,QKN22687
hepe-virga-like_QKN22697_Erysiphe_necator_associated_virga_like_virus_1_3195,Hepe-Virga,QKN22697
hepe-virga-like_QKN22701_Erysiphe_necator_associated_tobamo_like_virus_1_2293,Hepe-Virga,QKN22701
hepe-virga-like_QKN22705_Erysiphe_necator_associated_virga_like_virus_11_1146,Hepe-Virga,QKN22705
hepe-virga-like_QKN22724_Erysiphe_necator_associated_tymo_like_virus_1_Erysiphe_necator_1891,Hepe-Virga,QKN22724
hepe-virga-like_QKK35381_Erysiphe_necator_associated_beny_like_virus_1_Erysiphe_necator_1648,Hepe-Virga,QKK35381
hepe-virga-like_QUS47382_Longquan_Rhinolophus_sinicus_orthohepevirus_1_Rhinolophus_sinicus_1515,Hepe-Virga,QUS47382
hepe-virga-like_QUS47385_Wenzhou_Pipistrellus_abramus_orthohepevirus_1_Pipistrellus_abramus_1554,Hepe-Virga,QUS47385
